,boiling_point,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,RingCount,MolLogP,MolMR,fr_C_O,fr_C_O_noCOO
sample_1,350.5,7.506944444444445,1.1805555555555556,7.506944444444445,1.1805555555555556,0.3725511592809629,53.06399999999999,50.04,53.026549096,20,0.0905313753738046,-0.1931212607867276,0.1931212607867276,0.0905313753738046,2.0,2.25,2.25,2.9217836800202117,48.793987519471216,3.414213562373095,2.231670645876131,2.231670645876131,1.914213562373095,0.9205302228086548,0.9205302228086548,0.333223590105512,0.333223590105512,0.0912870929175276,0.0912870929175276,0.0,0.0,-0.77,6.854752972273345,3.2299999999999995,2.23,1.23,25.172111905907222,0.0,6.578935683598497,0.0,6.076020106833881,6.069221312792274,0.0,0.0,0.0,0.0,0.0,12.654955790432378,0.0,0.0,11.33111286753076,0.0,12.654955790432378,23.79,0.0,0.0,0.0,0.0,6.076020106833881,6.069221312792274,0.0,6.578935683598497,5.261891554738487,0.0,7.506944444444445,0.0,0.0,1.6944444444444444,1.1805555555555556,3.118055555555556,0.0,4,0,1,0,1,0,1,0,0,0.6959799999999999,15.81,0,0
sample_2,325.8,9.055555555555555,0.6388888888888888,9.055555555555555,0.6388888888888888,0.3131312644427995,56.064,52.032,56.026214748,22,0.1417458219422101,-0.2985870897392271,0.2985870897392271,0.1417458219422101,1.75,2.0,2.0,2.7320508075688776,24.264662506490403,3.414213562373095,2.270055610029662,2.270055610029662,1.914213562373095,0.9772838841927124,0.9772838841927124,0.3717850238834702,0.3717850238834702,0.0962250448649376,0.0962250448649376,0.0,0.0,-0.5900000000000001,6.854752972273345,3.4100000000000006,2.4100000000000006,1.4100000000000017,24.94105432448228,0.0,6.578935683598497,6.076020106833881,0.0,0.0,4.794537184071822,6.286160523129555,0.0,0.0,0.0,12.654955790432378,6.286160523129555,4.794537184071822,0.0,0.0,12.654955790432378,17.07,0.0,0.0,6.286160523129555,0.0,6.076020106833881,0.0,0.0,6.578935683598497,4.794537184071822,9.055555555555555,0.0,0.0,0.0,0.0,1.8333333333333333,3.111111111111111,0.0,4,0,1,0,1,0,1,1,0,0.3712999999999999,16.261,1,1
sample_3,414.2,9.25,-0.9814814814814812,9.25,0.8333333333333333,0.4508580596042506,72.06299999999999,68.031,72.021129368,28,0.3271981122452583,-0.4780891485530972,0.4780891485530972,0.3271981122452583,2.0,2.2,2.2,3.204805417886435,55.91340299823497,4.284457050376173,2.639918936339994,2.639918936339994,2.270055610029662,1.1246543680405865,1.1246543680405865,0.5423618132207977,0.5423618132207977,0.174620426250861,0.174620426250861,0.0,0.0,-0.79,9.65148445440323,4.21,1.5215264797507788,3.21,29.735288076678287,5.106527394840706,6.578935683598497,0.0,6.076020106833881,0.0,9.901064578912528,5.969305287951849,0.0,0.0,0.0,12.654955790432378,11.075832682792557,4.794537184071822,0.0,0.0,12.654955790432378,37.3,4.794537184071822,0.0,0.0,6.076020106833881,0.0,0.0,0.0,6.578935683598497,5.106527394840706,9.25,7.604166666666666,0.0,-0.9814814814814812,0.0,0.8333333333333333,2.960648148148148,0.0,5,1,2,0,1,1,2,1,0,0.2569999999999999,17.8328,1,0
sample_4,318.1,5.0679012345679,0.5555555555555557,5.0679012345679,0.5555555555555557,0.327275948897503,76.526,71.486,76.00797784,24,0.0401064912180814,-0.1222196476655847,0.1222196476655847,0.0401064912180814,2.0,2.25,2.25,2.2968352619191394,17.24511249783653,3.414213562373095,2.369528304571948,3.1254572505904026,1.914213562373095,1.0837578228401503,1.6182803066649991,0.4429784845569047,0.7515851844810886,0.1091089451179961,0.3273268353539885,0.0,0.0,0.0299999999999999,6.854752972273345,4.030000000000002,3.0300000000000016,2.0300000000000016,31.082798451320183,0.0,6.076020106833881,0.0,5.880003444970339,0.0,0.0,11.600939890232516,0.0,0.0,5.880003444970339,12.654955790432378,5.880003444970339,0.0,0.0,0.0,12.654955790432378,0.0,0.0,0.0,5.880003444970339,0.0,0.0,6.076020106833881,0.0,6.578935683598497,11.600939890232516,0.0,0.0,0.0,0.5555555555555557,0.0,1.6404320987654322,3.3472222222222223,0.3333333333333333,4,0,0,0,0,0,1,1,0,1.4112,20.916999999999994,0,0
sample_5,225.4,3.361111111111111,1.75,3.361111111111111,1.75,0.3570688167166915,42.081,36.033,42.046950192,18,-0.0472598095819833,-0.1033612507472694,0.1033612507472694,0.0472598095819833,2.0,2.0,2.0,2.1874960973678963,7.509775004326936,2.7071067811865475,2.284457050376173,2.284457050376173,1.4142135623730951,0.9855985596534887,0.9855985596534887,0.408248290463863,0.408248290463863,0.0,0.0,0.0,0.0,-0.26,2.754887502163468,2.7400000000000007,1.740000000000001,1.739999999999997,20.779532224438512,0.0,6.076020106833881,6.923737199690624,0.0,0.0,0.0,0.0,0.0,6.923737199690624,0.0,12.654955790432378,0.0,0.0,0.0,6.923737199690624,12.654955790432378,0.0,0.0,0.0,0.0,0.0,0.0,6.076020106833881,6.923737199690624,6.578935683598497,0.0,0.0,0.0,0.0,0.0,0.0,1.75,5.25,0.3333333333333333,3,0,0,0,0,0,0,0,0,1.1923,15.871000000000002,0,0
sample_6,361.3,5.1913580246913575,0.6172839506172845,5.1913580246913575,0.6172839506172845,0.4495213755957226,110.971,106.939,109.969005488,30,0.0262348947737568,-0.0917115577758554,0.0917115577758554,0.0262348947737568,1.8,2.0,2.0,3.1431973062780685,42.85475297227335,4.284457050376173,2.8332792152080803,4.345137107244989,2.270055610029662,1.1958752613354189,2.0102755148166307,0.6958752613354189,1.5102755148166311,0.1503482500601123,0.6984805798330338,0.0,0.0,0.3199999999999999,9.65148445440323,5.32,2.5514814814814817,4.320000000000001,41.386064678201855,0.0,23.20187978046503,6.923737199690624,10.56748828099181,0.0,0.0,23.20187978046503,0.0,6.923737199690624,0.0,10.56748828099181,0.0,0.0,0.0,6.923737199690624,10.56748828099181,0.0,0.0,0.0,5.032286352113597,0.0,5.535201928878213,6.923737199690624,0.0,0.0,23.20187978046503,0.0,0.6172839506172845,1.3209876543209875,0.0,0.0,0.0,1.716820987654321,0.3333333333333333,5,0,0,0,0,0,2,0,0,2.3253000000000004,25.462999999999997,0,0
sample_7,370.2,7.756944444444445,0.0833333333333334,7.756944444444445,0.0833333333333334,0.425825650815454,58.08,52.032,58.041864812,24,0.060931221181301,-0.3923178086285883,0.3923178086285883,0.060931221181301,2.0,2.25,2.25,2.2968352619191394,17.24511249783653,3.414213562373095,2.4387774270626785,2.4387774270626785,1.914213562373095,1.1327243469445638,1.1327243469445638,0.4712493204298682,0.4712493204298682,0.1290994448735805,0.1290994448735805,0.0,0.0,-0.3,6.854752972273345,3.7,2.700000000000001,1.7000000000000013,25.57376597663452,5.106527394840706,6.076020106833881,0.0,0.0,6.606881964512918,5.106527394840706,0.0,0.0,0.0,6.606881964512918,12.654955790432378,11.713409359353625,0.0,0.0,0.0,12.654955790432378,20.23,0.0,6.606881964512918,0.0,0.0,6.076020106833881,0.0,0.0,6.578935683598497,5.106527394840706,0.0,7.756944444444445,0.0,0.0,0.0,1.4305555555555556,3.3125,0.3333333333333333,4,1,1,0,1,1,1,1,0,0.1647,17.2828,0,0
sample_8,278.7,4.305555555555555,1.375,4.305555555555555,1.375,0.4046276570774477,58.080000000000005,52.032,58.041864812,24,0.0765680447547852,-0.5049852753938333,0.5049852753938333,0.0765680447547852,2.0,2.25,2.25,2.2968352619191386,17.24511249783653,3.414213562373095,2.6927053408400363,2.6927053408400363,1.914213562373095,1.052198841323242,1.052198841323242,0.4023689270621826,0.4023689270621826,0.1666666666666666,0.1666666666666666,0.0,0.0,-0.46,6.854752972273345,3.54,2.54,1.54,25.89307745394539,4.736862953800049,6.578935683598497,0.0,0.0,13.371877989698325,4.736862953800049,0.0,0.0,0.0,7.109797541277533,12.841016132019288,7.109797541277533,4.736862953800049,0.0,0.0,12.841016132019288,9.23,0.0,0.0,0.0,0.0,6.26208044842079,7.109797541277533,0.0,11.315798637398547,0.0,0.0,0.0,0.0,0.0,0.0,1.375,3.2569444444444446,0.3333333333333333,4,0,1,0,1,0,1,1,0,0.7763,17.206,0,0
sample_9,321.2,9.17361111111111,0.6388888888888888,9.17361111111111,0.6388888888888888,0.4032599029179279,58.08,52.032,58.041864812,24,0.1192149442880172,-0.3034142326161929,0.3034142326161929,0.1192149442880172,2.0,2.25,2.25,2.2968352619191386,17.24511249783653,3.414213562373095,2.6927053408400363,2.6927053408400363,1.914213562373095,1.3510573320459265,1.3510573320459265,0.5749149571305296,0.5749149571305296,0.1666666666666666,0.1666666666666666,0.0,0.0,-0.33,6.854752972273345,3.67,2.67,1.6699999999999997,25.63065735666653,4.794537184071822,6.923737199690624,0.0,6.4208216229260096,0.0,4.794537184071822,6.286160523129555,0.0,13.344558822616634,0.0,0.0,6.286160523129555,4.794537184071822,0.0,13.344558822616634,0.0,17.07,4.794537184071822,0.0,6.4208216229260096,6.286160523129555,0.0,0.0,6.923737199690624,0.0,0.0,9.17361111111111,0.0,0.0,0.0,0.0,1.5138888888888888,1.8125,0.6666666666666666,4,0,1,0,1,0,1,1,0,0.5952999999999999,16.355,1,1
sample_10,327.5,9.256944444444445,-0.99537037037037,9.256944444444445,0.1111111111111109,0.4051790062235931,73.071,68.031,73.02950297991,30,0.041108964454662,-0.5501828650303152,0.5501828650303152,0.041108964454662,2.0,2.2,2.2,2.847378923087672,40.1577218810798,4.284457050376173,3.0236033621142737,3.0236033621142737,2.270055610029662,1.4689084622436843,1.4689084622436843,0.72556185852142,0.72556185852142,0.2886751345948129,0.2886751345948129,0.0,0.0,-0.53,9.65148445440323,4.469999999999999,1.7581844380403455,3.469999999999999,30.42489110886254,9.901064578912528,6.923737199690624,6.4208216229260096,5.969305287951849,0.0,9.901064578912528,5.969305287951849,0.0,13.344558822616634,0.0,0.0,5.969305287951849,4.794537184071822,0.0,13.344558822616634,0.0,40.13,9.901064578912528,6.4208216229260096,0.0,0.0,6.923737199690624,0.0,0.0,0.0,0.0,9.256944444444445,9.256944444444445,0.0,-0.99537037037037,0.0,0.1111111111111109,1.537037037037037,0.6666666666666666,5,0,2,0,2,0,2,1,0,-0.8537000000000001,15.298000000000002,1,1
